example_id                                                              | status | run_time        |
./spec/lib/faultline/middleware_spec.rb[1:8:1]                          | passed | 0.001 seconds   |
./spec/lib/faultline/notifiers/base_spec.rb[1:1:1]                      | passed | 0.00169 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:2:1]                      | passed | 0.0044 seconds  |
./spec/lib/faultline/notifiers/base_spec.rb[1:3:1]                      | passed | 0.00183 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:1]                      | passed | 0.00404 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:2]                      | passed | 0.00368 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:3]                      | passed | 0.00418 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:4]                      | passed | 0.00494 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:5]                      | passed | 0.00366 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:6]                      | passed | 0.00419 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:7]                      | passed | 0.00403 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:8]                      | passed | 0.00185 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:9]                      | passed | 0.0017 seconds  |
./spec/lib/faultline/notifiers/base_spec.rb[1:4:10]                     | passed | 0.0018 seconds  |
./spec/lib/faultline/notifiers/base_spec.rb[1:5:1]                      | passed | 0.00184 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:5:2]                      | passed | 0.00182 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:6:1:1]                    | passed | 0.00228 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:6:2:1]                    | passed | 0.00257 seconds |
./spec/lib/faultline/notifiers/base_spec.rb[1:6:3:1]                    | passed | 0.00202 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:1:1]                   | passed | 0.00019 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:1:2]                   | passed | 0.00019 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:1:3]                   | passed | 0.00024 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:1:4]                   | passed | 0.0002 seconds  |
./spec/lib/faultline/notifiers/discord_spec.rb[1:1:5]                   | passed | 0.00019 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:1:6]                   | passed | 0.00019 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:2:1]                   | passed | 0.00278 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:2:2:1]                 | passed | 0.00225 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:2:3:1]                 | passed | 0.00209 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:1]                   | passed | 0.00165 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:2]                   | passed | 0.00159 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:3]                   | passed | 0.00161 seconds |
./spec/lib/faultline/notifiers/discord_spec.rb[1:3:4]                   | passed | 0.00165 seconds |
